framenum , queue density , dynamic density
5151,0.0711344,0.00132813
5156,0.0710094,0.0012375
5161,0.0719,0.00191563
5166,0.0715719,0.00130313
5171,0.0715656,0.001175
5176,0.0716594,0.00113437
5181,0.0721719,0.00159375
5186,0.0701969,0.0019125
5191,0.0702219,0.0014625
5196,0.0715438,0.00221875
5201,0.0716656,0.00163437
5206,0.0717312,0.001275
5211,0.0719094,0.00125
5216,0.0719844,0.00120625
5221,0.0712781,0.00203125
5226,0.0713875,0.00144688
5231,0.0715719,0.00123125
5236,0.0718063,0.0012125
5241,0.0720688,0.00115313
5246,0.0715375,0.00172188
5251,0.0713312,0.001375
5256,0.0716969,0.00125
5261,0.0929906,0.026475
5266,0.103475,0.0516594
5271,0.103516,0.0693719
5276,0.104428,0.0788313
5281,0.107656,0.0834312
5286,0.110703,0.0838437
5291,0.128022,0.10905
5296,0.152916,0.160944
5301,0.169263,0.193684
5306,0.179197,0.211034
5311,0.175647,0.191503
5316,0.175391,0.159644
5321,0.164144,0.174516
5326,0.151237,0.147434
5331,0.149462,0.1196
5336,0.148616,0.130472
5341,0.142928,0.11155
5346,0.141794,0.110597
5351,0.144706,0.103206
5356,0.162213,0.117672
5361,0.176241,0.137759
5366,0.175881,0.135225
5371,0.166881,0.134309
5376,0.162616,0.115616
5381,0.164912,0.112363
5386,0.167112,0.108047
5391,0.183781,0.130191
5396,0.189906,0.158534
5401,0.182728,0.132125
5406,0.180341,0.113491
5411,0.175563,0.0993813
5416,0.177388,0.0830188
5421,0.191334,0.105163
5426,0.200794,0.100231
5431,0.204288,0.101544
5436,0.213697,0.130919
5441,0.225169,0.163225
5446,0.2307,0.212753
5451,0.239431,0.200866
5456,0.239741,0.199656
5461,0.240134,0.185706
5466,0.2386,0.174034
5471,0.231013,0.182344
5476,0.226816,0.149731
5481,0.245784,0.148934
5486,0.276903,0.155956
5491,0.301856,0.138328
5496,0.323872,0.161603
5501,0.335909,0.133513
5506,0.339972,0.117084
5511,0.340031,0.1052
5516,0.332991,0.0942812
5521,0.3266,0.129744
5526,0.335831,0.102837
5531,0.355903,0.101456
5536,0.368947,0.108716
5541,0.378978,0.101616
5546,0.381812,0.137684
5551,0.384209,0.092075
5556,0.386728,0.0660219
5561,0.393331,0.0663094
5566,0.395487,0.0687656
5571,0.395338,0.106106
5576,0.402416,0.0954688
5581,0.411141,0.0898562
5586,0.417884,0.0922
5591,0.431191,0.0980188
5596,0.427847,0.12795
5601,0.429425,0.0925969
5606,0.433328,0.06545
5611,0.440834,0.0633187
5616,0.442391,0.0622531
5621,0.436409,0.0984469
5626,0.437409,0.0737469
5631,0.436016,0.0546437
5636,0.434072,0.0503562
5641,0.438559,0.0390719
5646,0.452606,0.0969594
5651,0.454391,0.064825
5656,0.452922,0.0393625
5661,0.453609,0.0372594
5666,0.454234,0.0331531
5671,0.455537,0.0680656
5676,0.45675,0.0380469
5681,0.455838,0.0225438
5686,0.4559,0.0210719
5691,0.455259,0.0209438
5696,0.452934,0.0411062
5701,0.457147,0.0265531
5706,0.460322,0.0155687
5711,0.464181,0.0136594
5716,0.471556,0.0146781
5721,0.483084,0.062275
5726,0.483734,0.0291
5731,0.483641,0.00690313
